Date,Close
11/28/2014,99.4
12/1/2014,98.88
12/2/2014,98.16
12/3/2014,98.59
12/4/2014,98.95
12/5/2014,99.64
12/8/2014,100.43
12/9/2014,99.64
12/10/2014,98.94
12/11/2014,100.27
12/12/2014,99.78
12/15/2014,100.05
12/16/2014,97.06
12/17/2014,98.94
12/18/2014,100.67
12/19/2014,101.93
12/22/2014,103.5
12/23/2014,103.76
12/24/2014,103.56
12/26/2014,103.75
12/29/2014,104.53
12/30/2014,104.27
12/31/2014,104.97
1/2/2015,103.43
1/5/2015,101.26
1/6/2015,100.95
1/7/2015,104.41
1/8/2015,106.72
1/9/2015,104.89
1/12/2015,104.42
1/13/2015,103.73
1/14/2015,102.64
1/15/2015,101.01
1/16/2015,104.12
1/20/2015,103.25
1/21/2015,103.53
1/22/2015,106.07
1/23/2015,105.37
1/26/2015,106.36
1/27/2015,105.16
1/28/2015,104.74
1/29/2015,107.62
1/30/2015,104.42
2/2/2015,104.43
2/3/2015,107.24
2/4/2015,108.41
2/5/2015,108.99
2/6/2015,109.04
2/9/2015,108.34
2/10/2015,110.67
2/11/2015,110.31
2/12/2015,112.16
2/13/2015,111.89
2/17/2015,112
2/18/2015,111.99
2/19/2015,110.94
2/20/2015,112.24
2/23/2015,112.28
2/24/2015,116.75
2/25/2015,116.31
2/26/2015,115.38
2/27/2015,114.75
3/2/2015,116.12
3/3/2015,116.07
3/4/2015,114.76
3/5/2015,115.91
3/6/2015,114.45
3/9/2015,115.25
3/10/2015,112.56
3/11/2015,113.07
3/12/2015,116.1
3/13/2015,114.82
3/16/2015,116.5
3/17/2015,115.58
3/18/2015,116.08
3/19/2015,115.16
3/20/2015,117.49
3/23/2015,116.07
3/24/2015,116.15
3/25/2015,113.68
3/26/2015,112.37
3/27/2015,113.86
3/30/2015,114.63
3/31/2015,113.61
4/1/2015,113.13
4/2/2015,114.54
4/6/2015,114.95
4/7/2015,114.3
4/8/2015,115.59
4/9/2015,114.57
4/10/2015,115.24
4/13/2015,114.44
4/14/2015,114.05
4/15/2015,113.45
4/16/2015,113.37
4/17/2015,112.1
4/20/2015,112.86
4/21/2015,113.17
4/22/2015,112.99
4/23/2015,113.96
4/24/2015,113.7
4/27/2015,111.39
4/28/2015,110.58
4/29/2015,108.71
4/30/2015,106.98
5/1/2015,109.55
5/4/2015,110.06
5/5/2015,108.06
5/6/2015,108.31
5/7/2015,110.04
5/8/2015,112.47
5/11/2015,111.9
5/12/2015,112.52
5/13/2015,111.19
5/14/2015,111.94
5/15/2015,113.35
5/18/2015,114.33
5/19/2015,112.34
5/20/2015,112.1
5/21/2015,112.01
5/22/2015,112.16
5/26/2015,110.93
5/27/2015,112.16
5/28/2015,112.19
5/29/2015,111.42
6/1/2015,111.67
6/2/2015,111.59
6/3/2015,113.16
6/4/2015,111.46
6/5/2015,110.37
6/8/2015,109.93
6/9/2015,109.53
6/10/2015,110.98
6/11/2015,111.29
6/12/2015,110.6
6/15/2015,110.01
6/16/2015,110.23
6/17/2015,110.47
6/18/2015,111.85
6/19/2015,112.43
6/22/2015,113.07
6/23/2015,113.18
6/24/2015,112.35
6/25/2015,112.24
6/26/2015,112.6
6/29/2015,110.54
6/30/2015,111.13
7/1/2015,112.07
7/2/2015,111.49
7/6/2015,111.32
7/7/2015,112.4
7/8/2015,111
7/9/2015,111.38
7/10/2015,113.1
7/13/2015,114.9
7/14/2015,115.36
7/15/2015,115.58
7/16/2015,114.73
7/17/2015,114.47
7/20/2015,113.41
7/21/2015,113.86
7/22/2015,114.9
7/23/2015,114.59
7/24/2015,113.59
7/27/2015,113.07
7/28/2015,114.84
7/29/2015,116.37
7/30/2015,116.46
7/31/2015,117.03
8/3/2015,116.89
8/4/2015,117.53
8/5/2015,118
8/6/2015,116.56
8/7/2015,116.93
8/10/2015,117.6
8/11/2015,117.69
8/12/2015,117.69
8/13/2015,119.02
8/14/2015,119.75
8/17/2015,119.7
8/18/2015,122.8
8/19/2015,122.76
8/20/2015,120.54
8/21/2015,116.16
8/24/2015,112.54
8/25/2015,110.97
8/26/2015,115.93
8/27/2015,117.66
8/28/2015,117.52
8/31/2015,116.46
9/1/2015,113.07
9/2/2015,116.48
9/3/2015,116.6
9/4/2015,114.42
9/8/2015,116.43
9/9/2015,113.97
9/10/2015,114.49
9/11/2015,115.44
9/14/2015,114.73
9/15/2015,116.18
9/16/2015,117.82
9/17/2015,117.91
9/18/2015,115.12
9/21/2015,116.58
9/22/2015,115.8
9/23/2015,116.17
9/24/2015,116.34
9/25/2015,116.74
9/28/2015,114.1
9/29/2015,112.91
9/30/2015,115.49
10/1/2015,117.03
10/2/2015,117.81
10/5/2015,119.2
10/6/2015,118.68
10/7/2015,119.65
10/8/2015,121.06
10/9/2015,121.33
10/12/2015,121.9
10/13/2015,121.61
10/14/2015,120.27
10/15/2015,121.81
10/16/2015,122.74
10/19/2015,123.1
10/20/2015,122.85
10/21/2015,123.3
10/22/2015,124.36
10/23/2015,124.61
10/26/2015,125.01
10/27/2015,124.47
10/28/2015,123.82
10/29/2015,123.63
10/30/2015,123.64
11/2/2015,124.41
11/3/2015,125.66
11/4/2015,125.38
11/5/2015,125.72
11/6/2015,125.98
11/9/2015,124.5
11/10/2015,125.26
11/11/2015,124.71
11/12/2015,123.81
11/13/2015,120
11/16/2015,120.84
11/17/2015,126.18
11/18/2015,126.54
11/19/2015,126.86
11/20/2015,130.21
11/23/2015,132.5
11/24/2015,133.6
11/25/2015,134.65
11/27/2015,134.74
11/30/2015,133.88
12/1/2015,134.43
12/2/2015,133.81
12/3/2015,130.93
12/4/2015,134.53
12/7/2015,133.93
12/8/2015,133.84
12/9/2015,131.9
12/10/2015,132.54
12/11/2015,130.44
12/14/2015,132.01
12/15/2015,131.29
12/16/2015,132.9
12/17/2015,131.35
12/18/2015,130.29
12/21/2015,131.31
12/22/2015,131.88
12/23/2015,133.11
12/24/2015,132.9
12/28/2015,132.68
12/29/2015,133.7
12/30/2015,133.35
12/31/2015,132.25
1/4/2016,131.07
1/5/2016,130.43
1/6/2016,129.08
1/7/2016,125.4
1/8/2016,123.9
1/11/2016,125.78
1/12/2016,127.49
1/13/2016,121.4
1/14/2016,119.62
1/15/2016,119.23
1/19/2016,119.76
1/20/2016,116.46
1/21/2016,120.22
1/22/2016,122.76
1/25/2016,121.71
1/26/2016,122.2
1/27/2016,121.57
1/28/2016,122.28
1/29/2016,125.76
2/1/2016,126.51
2/2/2016,125.27
2/3/2016,123.79
2/4/2016,121.11
2/5/2016,116.43
2/8/2016,111.85
2/9/2016,113.86
2/10/2016,114.33
2/11/2016,113.27
2/12/2016,116.32
2/16/2016,119.43
2/17/2016,121.21
2/18/2016,119.97
2/19/2016,121.69
2/22/2016,122.85
2/23/2016,124.53
2/24/2016,125.61
2/25/2016,126.86
2/26/2016,126.26
2/29/2016,124.12
3/1/2016,125.7
3/2/2016,125.59
3/3/2016,126.8
3/4/2016,125.56
3/7/2016,126.17
3/8/2016,126.72
3/9/2016,126.03
3/10/2016,125.89
3/11/2016,128.46
3/14/2016,128.84
3/15/2016,129.71
3/16/2016,130.45
3/17/2016,130.88
3/18/2016,131.35
3/21/2016,131.01
3/22/2016,130.59
3/23/2016,130.22
3/24/2016,130.46
3/28/2016,131.08
3/29/2016,132.47
3/30/2016,133.42
3/31/2016,133.43
4/1/2016,134.85
4/4/2016,134.85
4/5/2016,134.58
4/6/2016,135.44
4/7/2016,133.87
4/8/2016,133.62
4/11/2016,133.01
4/12/2016,134.38
4/13/2016,133.84
4/14/2016,134.37
4/15/2016,135.01
4/18/2016,136.8
4/19/2016,135.44
4/20/2016,135.19
4/21/2016,134.6
4/22/2016,135.66
4/25/2016,135.65
4/26/2016,135.34
4/27/2016,135.75
4/28/2016,132.73
4/29/2016,133.89
5/2/2016,136.05
5/3/2016,134.54
5/4/2016,135.16
5/5/2016,134.67
5/6/2016,135.7
5/9/2016,136.24
5/10/2016,137.51
5/11/2016,134.3
5/12/2016,134.19
5/13/2016,133.13
5/16/2016,135.34
5/17/2016,132
5/18/2016,131.77
5/19/2016,131.73
5/20/2016,131.85
5/23/2016,131.42
5/24/2016,133.36
5/25/2016,133.2
5/26/2016,134.05
5/27/2016,133.94
5/31/2016,132.12
6/1/2016,131.83
6/2/2016,132.41
6/3/2016,131.74
6/6/2016,129.19
6/7/2016,129.92
6/8/2016,129.59
6/9/2016,129.3
6/10/2016,128.83
6/13/2016,127.83
6/14/2016,125.24
6/15/2016,126.53
6/16/2016,127.36
6/17/2016,127.14
6/20/2016,127.62
6/21/2016,127.74
6/22/2016,127.6
6/23/2016,128.29
6/24/2016,126.4
6/27/2016,124.67
6/28/2016,127.53
6/29/2016,127.37
6/30/2016,127.69
7/1/2016,129.62
7/5/2016,129.35
7/6/2016,131.57
7/7/2016,131.16
7/8/2016,134.34
7/11/2016,135.15
7/12/2016,134.84
7/13/2016,133.56
7/14/2016,134.54
7/15/2016,134.78
7/18/2016,136.34
7/19/2016,136.98
7/20/2016,137.41
7/21/2016,136.07
7/22/2016,136.52
7/25/2016,136.5
7/26/2016,136.75
7/27/2016,136.31
7/28/2016,137.96
7/29/2016,138.24
8/1/2016,138.77
8/2/2016,137.22
8/3/2016,137.06
8/4/2016,136.05
8/5/2016,136.91
8/8/2016,136.21
8/9/2016,136.11
8/10/2016,135.6
8/11/2016,137.04
8/12/2016,136.57
8/15/2016,137.06
8/16/2016,136.23
8/17/2016,136.15
8/18/2016,134.8
8/19/2016,135.46
8/22/2016,135.34
8/23/2016,136.22
8/24/2016,135.06
8/25/2016,135.43
8/26/2016,134.36
8/29/2016,135.24
8/30/2016,134.1
8/31/2016,134.12
9/1/2016,134.23
9/2/2016,135.15
9/6/2016,134.1
